iter	Passed	Remaining
411	91351	19511
412	91432	19260
413	91486	19004
414	91537	18748
415	91583	18492
416	91648	18241
417	91702	17989
418	91755	17737
419	91809	17487
420	91864	17238
421	91914	16988
422	91971	16741
423	92026	16495
424	92082	16249
425	92132	16004
426	92185	15760
427	92244	15517
428	92304	15276
429	92362	15035
430	92414	14794
431	92476	14556
432	92540	14319
433	92604	14082
434	92673	13847
435	92730	13611
436	92786	13376
437	92845	13142
438	92895	12907
439	92951	12675
440	93002	12442
441	93072	12213
442	93133	11983
443	93188	11753
444	93247	11524
445	93302	11296
446	93352	11068
447	93409	10842
448	93467	10616
449	93524	10391
450	93590	10168
451	93651	9945
452	93709	9722
453	93779	9501
454	93838	9280
455	93901	9060
456	93957	8840
457	94015	8621
458	94073	8403
459	94124	8184
460	94176	7967
461	94218	7749
462	94254	7532
463	94289	7315
464	94323	7099
465	94358	6884
466	94391	6670
467	94425	6456
468	94460	6243
469	94495	6031
470	94529	5820
471	94582	5610
472	94630	5401
473	94671	5192
474	94707	4984
475	94740	4776
476	94777	4569
477	94811	4363
478	94844	4158
479	94878	3953
480	94913	3749
481	94948	3545
482	94983	3343
483	95017	3141
484	95052	2939
485	95087	2739
486	95122	2539
487	95157	2339
488	95190	2141
489	95226	1943
490	95259	1746
491	95294	1549
492	95329	1353
493	95364	1158
494	95402	963
495	95439	769
496	95476	576
497	95514	383
498	95551	191
499	95585	0
	98925	198
499	98982	0
1199
494	98846	998
495	98904	797
496	98971	597
497	99025	397
498	99089	198
499	99139	0
2617	1036
495	102748	828
496	102819	620
497	102913	413
498	103012	206
499	103098	0
