iter	Logloss
0	0.6865675908
1	0.6800923166
2	0.6735232045
3	0.6673448478
4	0.6605877945
5	0.6543826125
6	0.6484613582
7	0.6423354738
8	0.63663608
9	0.6314785292
10	0.6264125946
11	0.6217726127
12	0.6164953999
13	0.6112375356
14	0.6063386876
15	0.6017253638
16	0.5971469667
17	0.5929316013
18	0.5886142156
19	0.5844312059
20	0.5806707601
21	0.5769455092
22	0.5730109033
23	0.5691245913
24	0.5659264212
25	0.5627152592
26	0.5591261581
27	0.5557466736
28	0.5524989955
29	0.5492964894
30	0.5459953722
31	0.5432799279
32	0.5403281249
33	0.5374748388
34	0.5346622472
35	0.5317886509
36	0.5291170984
37	0.5262582089
38	0.5238047078
39	0.5211416046
40	0.5188610391
41	0.5163571314
42	0.5141592852
43	0.5117387671
44	0.5094331969
45	0.5073486258
46	0.5053413849
47	0.5035575676
48	0.5016424617
49	0.4999542288
50	0.4978004934
51	0.4958770773
52	0.4940011282
53	0.4922238623
54	0.4906594603
55	0.4889746389
56	0.487321328
57	0.4859608096
58	0.4842084572
59	0.4827953798
60	0.4812473518
61	0.4797496222
62	0.4783610106
63	0.4771028132
64	0.4756919684
65	0.4744111051
66	0.4732096704
67	0.4719546786
68	0.4707742702
69	0.4696812163
70	0.4686011578
71	0.4674206082
72	0.4663338395
73	0.4652892054
74	0.4642553315
75	0.4629928545
76	0.4619056031
77	0.4610103739
78	0.4598537045
79	0.458853531
80	0.4579309943
81	0.4570438156
82	0.4560148417
83	0.4551447461
84	0.4541387419
85	0.4533408676
86	0.4525103693
87	0.4517246035
88	0.4509028251
89	0.4501057434
90	0.4493166625
91	0.4486398813
92	0.4478629491
93	0.4471130422
94	0.4464711192
95	0.4456818411
96	0.445003179
97	0.4442722374
98	0.4435694756
99	0.4429410577
100	0.4422483557
101	0.4416042797
102	0.4409920106
103	0.4403248246
104	0.4396915817
105	0.4391183904
106	0.4385504419
107	0.4380107234
108	0.4375055919
109	0.4369253933
110	0.4363933671
111	0.4358545419
112	0.4353602899
113	0.4348680951
114	0.4344025185
115	0.4339322031
116	0.433407392
117	0.4328827725
118	0.4324447496
119	0.4320086006
120	0.4315546485
121	0.4311069066
122	0.4306399282
123	0.4301903066
124	0.4297271853
125	0.4293982507
126	0.4289143446
127	0.4284822495
128	0.4281125823
129	0.427740123
130	0.4273990932
131	0.4270042451
132	0.4265791439
133	0.4262358353
134	0.4258623166
135	0.4254281855
136	0.4251335647
137	0.4248002185
138	0.4244766775
139	0.4241339393
140	0.4237856999
141	0.4234161066
142	0.4230766698
143	0.4226720205
144	0.4222935632
145	0.4219671739
146	0.4216450897
147	0.4213076278
148	0.420987891
149	0.4206861175
150	0.4203823793
151	0.4200786771
152	0.4197636764
153	0.4195128886
154	0.4192057387
155	0.4189342494
156	0.4186820946
157	0.41836794
158	0.4180864667
159	0.4178274715
160	0.4175523258
161	0.4172994717
162	0.417065277
163	0.4168410709
164	0.4166101072
165	0.4163554354
166	0.4161049125
167	0.4158490039
168	0.415591224
169	0.415364611
170	0.4151834262
171	0.414896273
172	0.4146775634
173	0.4144716618
174	0.4142223305
175	0.4140040947
176	0.4137736408
177	0.4135108132
178	0.4132858658
179	0.4130640532
180	0.4128434469
181	0.4126133384
182	0.4124039152
183	0.4122259402
184	0.4119853984
185	0.4117891543
186	0.4115969715
187	0.4114297503
188	0.411286776
189	0.4112565377
190	0.4110650365
191	0.4108762107
192	0.410678157
193	0.4104294615
194	0.4102204356
195	0.4100309475
196	0.4098514983
197	0.4096294219
198	0.4094941546
199	0.4092560417
200	0.4090511463
201	0.4088395148
202	0.4086771159
203	0.4084990318
204	0.4083325654
205	0.408125883
206	0.4079507715
207	0.4077924837
208	0.407610085
209	0.4074376744
210	0.4073005856
211	0.4071154444
212	0.4069806622
213	0.4068698459
214	0.4067242445
215	0.4065831815
216	0.4063688582
217	0.4062347377
218	0.4060536614
219	0.4058529096
220	0.4056789118
221	0.4054974626
222	0.4053199403
223	0.4051553668
224	0.4049918621
225	0.4048027049
226	0.4046140142
227	0.4044599529
228	0.4043358279
229	0.4042029434
230	0.4040314601
231	0.4039285347
232	0.4037760797
233	0.4036374282
234	0.4034906612
235	0.4033870613
236	0.4032811142
237	0.4031554201
238	0.4030202179
239	0.4029203112
240	0.4027952356
241	0.4027810233
242	0.402660146
243	0.4025248093
244	0.4023595195
245	0.4022676432
246	0.4021587361
247	0.4020761067
248	0.4019556851
249	0.4017801595
250	0.4016546747
251	0.4015271521
252	0.4013838368
253	0.4012463893
254	0.4011348649
255	0.4010248371
256	0.4009063929
257	0.400778558
258	0.4006125488
259	0.4004819925
260	0.4003915567
261	0.4002296215
262	0.4001398486
263	0.4000308831
264	0.3999262327
265	0.3998373467
266	0.3997200114
267	0.3995695597
268	0.3994054873
269	0.3992507284
270	0.399119614
271	0.39898922
272	0.3988888469
273	0.3987490227
274	0.398615282
275	0.3984871573
276	0.3983411115
277	0.3982374329
278	0.3981323332
279	0.3980037821
280	0.3978882495
281	0.3977801147
282	0.397663221
283	0.3975443562
284	0.3974431958
285	0.3973418742
286	0.3972410206
287	0.397173337
288	0.3970129237
289	0.3969124712
290	0.396817234
291	0.3966765151
292	0.3965635839
293	0.3964751146
294	0.3963234314
295	0.3961929198
296	0.396081425
297	0.3959817121
298	0.3958735083
299	0.395759691
300	0.3956696358
301	0.3955505958
302	0.395462443
303	0.3953871427
304	0.3952715913
305	0.3951574364
306	0.3950755596
307	0.3949778786
308	0.394902084
309	0.3947899699
310	0.3947177703
311	0.3946355313
312	0.3945295591
313	0.3944143845
314	0.3943439046
315	0.394218602
316	0.3941455234
317	0.3940452137
318	0.3939479247
319	0.3938388263
