iter	RMSE
0	35.79937695
1	34.98817862
2	34.1944745
3	33.48848858
4	32.75533847
5	32.06685582
6	31.45233314
7	30.87277915
8	30.37130228
9	29.86573467
10	29.34101625
11	28.85949937
12	28.41569713
13	27.9744691
14	27.63255889
15	27.25950079
16	26.909878
17	26.55911184
18	26.26889922
19	25.95573798
20	25.69152672
21	25.40256346
22	25.16020284
23	24.92364083
24	24.71281373
25	24.5409895
26	24.33480458
27	24.14303301
28	23.95602354
29	23.76512134
30	23.58209708
31	23.38000404
32	23.21723387
33	23.10145166
34	22.97072091
35	22.8233219
36	22.68968096
37	22.57355363
38	22.43504917
39	22.31306406
40	22.20162235
41	22.07572167
42	21.97299157
43	21.86812573
44	21.79761776
45	21.69494488
46	21.5994328
47	21.49624087
48	21.4000587
49	21.34240714
50	21.24514253
51	21.15981677
52	21.09198273
53	21.00289306
54	20.92300204
55	20.85813207
56	20.80031333
57	20.72281782
58	20.65632856
59	20.60417607
60	20.53794984
61	20.46767935
62	20.39945319
63	20.32975851
64	20.265309
65	20.19857976
66	20.13907368
67	20.09565521
68	20.04719043
69	19.99488769
70	19.9298756
71	19.87939728
72	19.82322973
73	19.78058988
74	19.73763769
75	19.68338093
76	19.64038711
77	19.59669416
78	19.55014141
79	19.51040944
80	19.47512896
81	19.44231869
82	19.39880756
83	19.36864874
84	19.33256755
85	19.29243866
86	19.26893507
87	19.22090146
88	19.18525052
89	19.15063762
90	19.10115594
91	19.05230447
92	19.01629148
93	18.98323192
94	18.95452506
95	18.92370958
96	18.88187726
97	18.84299517
98	18.81789105
99	18.79394845
100	18.74977639
101	18.71469905
102	18.67770375
103	18.66386596
104	18.63030014
105	18.60262948
106	18.55979065
107	18.51050799
108	18.47493322
109	18.434459
110	18.41498581
111	18.39183622
112	18.35223198
113	18.31563248
114	18.28023814
115	18.24394216
116	18.21250362
117	18.18288737
118	18.15883902
119	18.10732658
120	18.08193874
121	18.0636616
122	18.02542453
123	18.00329498
124	17.98464646
125	17.95456377
126	17.92110937
127	17.89948237
128	17.8682031
129	17.85241468
130	17.81821006
131	17.78591873
132	17.76496731
133	17.72823006
134	17.69928295
135	17.66552142
136	17.63669472
137	17.61036166
138	17.58163413
139	17.53821222
140	17.51242687
141	17.48683178
142	17.46401804
143	17.42476412
144	17.39899148
145	17.34917158
146	17.33824616
147	17.30825016
148	17.26673659
149	17.24909119
150	17.21960384
151	17.18845107
152	17.16182444
153	17.14131783
154	17.10659467
155	17.07588022
156	17.04248721
157	17.03383053
158	17.02073566
159	16.99097405
160	16.97879749
161	16.96142306
162	16.929965
163	16.88025193
164	16.8623073
165	16.84452644
166	16.82641483
167	16.80542043
168	16.77816878
169	16.74221015
170	16.70769594
171	16.66926698
172	16.63408083
173	16.62672099
174	16.59452067
175	16.56104901
176	16.54342961
177	16.52547654
178	16.51222363
179	16.49393345
180	16.46923028
181	16.43727704
182	16.4056239
183	16.37586846
184	16.37367725
185	16.34408072
186	16.31697294
187	16.28634803
188	16.26642755
189	16.23359059
190	16.21391208
191	16.18247726
192	16.1787029
193	16.15483479
194	16.12814452
195	16.11788452
196	16.10948972
197	16.09026253
198	16.06637655
199	16.04670836
200	16.0264114
201	16.00373153
202	15.98928135
203	15.95589787
204	15.91668008
205	15.88419591
206	15.86258333
207	15.83145867
208	15.80872853
209	15.7798962
210	15.76184606
211	15.73521844
212	15.70695815
213	15.68320767
214	15.65164447
215	15.65040498
216	15.61753447
217	15.59943972
218	15.54646337
219	15.5202876
220	15.50083652
221	15.48681306
222	15.47456578
223	15.46839213
224	15.43140716
225	15.39916821
226	15.37727592
227	15.357146
228	15.34056797
229	15.31097779
230	15.28090232
231	15.25775576
232	15.22066736
233	15.19969261
234	15.177322
235	15.14860266
236	15.134264
237	15.13308088
238	15.11747437
239	15.09542745
240	15.06302446
241	15.03728235
242	15.02227319
243	14.99162571
244	14.97643519
245	14.94471488
246	14.93401664
247	14.89921084
248	14.87874938
249	14.86671044
250	14.85599064
251	14.83257798
252	14.81504315
253	14.81390821
254	14.78971216
255	14.7621262
256	14.7523899
257	14.73091175
258	14.72665844
259	14.7050686
260	14.68391261
261	14.66069989
262	14.64985957
263	14.62106081
264	14.59255948
265	14.59066078
266	14.5762186
267	14.55722983
268	14.53374213
269	14.51735059
270	14.49277182
271	14.49002846
272	14.46594701
273	14.44726824
274	14.42896804
275	14.41423796
276	14.39056958
277	14.36566872
278	14.35038734
279	14.34943679
280	14.32411817
281	14.30101732
282	14.30007194
283	14.28075828
284	14.254072
285	14.23108512
286	14.20671419
287	14.18704173
288	14.18464326
289	14.16417361
290	14.16254139
291	14.14773391
292	14.13376654
293	14.11336108
294	14.09053869
295	14.07457589
296	14.04860655
297	14.02720982
298	14.0219174
299	13.9988514
300	13.96528472
301	13.94182291
302	13.92006057
303	13.90018521
304	13.87182571
305	13.84612326
306	13.82694881
307	13.81596521
308	13.79141568
309	13.79056484
310	13.76988491
311	13.74551749
312	13.73886068
313	13.71682783
314	13.69771642
315	13.67858764
316	13.65859219
317	13.63733639
318	13.62028818
319	13.60022699
320	13.58021783
321	13.55790157
322	13.54243046
323	13.52482078
324	13.5148445
325	13.49911806
326	13.47036315
327	13.46139935
328	13.44832222
329	13.44070403
330	13.42683796
331	13.40930914
332	13.38826108
333	13.3772588
334	13.36060081
335	13.3378452
336	13.31045184
337	13.28745376
338	13.26936073
339	13.24471409
340	13.22486632
341	13.20973203
342	13.18287902
343	13.17832946
344	13.16461019
345	13.15065719
346	13.13402304
347	13.1103213
348	13.09329905
349	13.07415579
350	13.04972233
351	13.03118303
352	13.00506858
353	12.99633556
354	12.9835152
355	12.96130642
356	12.9474242
357	12.92380302
358	12.90224245
359	12.88628612
360	12.86888706
361	12.85652068
362	12.85576986
363	12.83501962
364	12.82217498
365	12.79579882
366	12.77870436
367	12.76467379
368	12.75357104
369	12.73547882
370	12.71266387
371	12.6963042
372	12.67936236
373	12.66364886
374	12.64437041
375	12.62785267
376	12.61360276
377	12.59756149
378	12.57485219
379	12.54564641
380	12.52995502
381	12.4978288
382	12.46898296
383	12.44718572
384	12.44148109
385	12.43594226
386	12.41945435
387	12.40326938
388	12.39985895
389	12.38887675
390	12.37106695
391	12.35303948
392	12.33856078
393	12.32481917
394	12.3232674
395	12.29746891
