iter	Passed	Remaining
415	3537	714
416	3544	705
417	3551	696
418	3559	688
419	3566	679
420	3573	670
421	3580	661
422	3586	652
423	3593	644
424	3600	635
425	3607	626
426	3613	617
427	3620	609
428	3626	600
429	3633	591
430	3641	582
431	3648	574
432	3654	565
433	3662	556
434	3670	548
435	3677	539
436	3683	531
437	3690	522
438	3697	513
439	3705	505
440	3712	496
441	3719	488
442	3727	479
443	3735	471
444	3742	462
445	3750	454
446	3757	445
447	3764	436
448	3772	428
449	3780	420
450	3786	411
451	3793	402
452	3800	394
453	3807	385
454	3815	377
455	3824	369
456	3831	360
457	3838	352
458	3846	343
459	3854	335
460	3861	326
461	3869	318
462	3878	309
463	3885	301
464	3892	292
465	3899	284
466	3908	276
467	3914	267
468	3922	259
469	3930	250
470	3937	242
471	3944	233
472	3951	225
473	3965	217
474	3972	209
475	3980	200
476	3985	192
477	3991	183
478	3999	175
479	4006	166
480	4013	158
481	4020	150
482	4027	141
483	4035	133
484	4041	125
485	4049	116
486	4057	108
487	4064	99
488	4070	91
489	4077	83
490	4084	74
491	4091	66
492	4098	58
493	4106	49
494	4113	41
495	4122	33
496	4129	24
497	4136	16
498	4143	8
499	4151	0
