iter	Passed	Remaining
0	51	25495
1	103	25848
2	161	26815
3	219	27256
4	272	26930
5	324	26756
6	386	27235
7	443	27253
8	498	27196
9	562	27583
10	625	27818
11	681	27723
12	741	27788
13	799	27737
14	853	27592
15	914	27664
16	975	27706
17	1026	27496
18	1081	27367
19	1135	27246
20	1186	27060
21	1238	26916
22	1297	26900
23	1358	26952
24	1415	26885
25	1475	26904
26	1534	26887
27	1603	27024
28	1672	27170
29	1732	27140
30	1791	27100
31	1853	27101
32	1912	27065
33	1974	27057
34	2035	27037
35	2095	27009
36	2156	26991
37	2221	27005
38	2289	27062
39	2350	27025
40	2415	27040
41	2477	27018
42	2539	26986
43	2597	26919
44	2654	26843
45	2716	26808
46	2780	26796
47	2843	26773
48	2903	26720
49	2964	26680
50	3025	26634
51	3092	26640
52	3152	26583
53	3216	26562
54	3276	26513
55	3343	26509
56	3414	26533
57	3483	26549
58	3548	26526
59	3615	26512
60	3680	26490
61	3747	26472
62	3814	26461
63	3879	26428
64	3931	26311
65	3979	26169
66	4028	26033
67	4077	25904
68	4129	25794
69	4181	25685
70	4228	25548
71	4272	25396
72	4314	25237
73	4359	25094
74	4402	24949
75	4447	24813
76	4490	24667
77	4530	24509
78	4589	24459
79	4647	24400
80	4705	24342
81	4763	24282
82	4820	24220
83	4879	24163
84	4936	24103
85	4993	24038
86	5051	23980
87	5107	23914
88	5159	23826
89	5214	23756
90	5269	23684
91	5324	23612
92	5377	23534
93	5432	23463
94	5489	23401
95	5542	23323
96	5593	23237
97	5644	23155
98	5698	23080
99	5751	23004
100	5804	22932
101	5857	22856
102	5910	22782
103	5967	22722
104	6020	22647
105	6075	22581
106	6127	22504
107	6178	22426
108	6230	22348
109	6283	22277
110	6339	22215
111	6391	22140
112	6442	22065
113	6493	21986
114	6549	21925
115	6601	21854
116	6656	21789
117	6712	21731
118	6761	21649
119	6814	21578
120	6867	21509
121	6922	21447
122	6978	21388
123	7034	21329
124	7087	21263
125	7140	21193
126	7192	21125
127	7247	21061
128	7299	20994
129	7350	20921
130	7406	20863
131	7460	20797
132	7513	20734
133	7568	20672
134	7624	20613
135	7675	20543
