iter	RMSE
349	1627.9054
350	1627.821343
351	1627.368042
352	1626.918209
353	1626.620801
354	1626.175169
355	1625.958497
356	1625.582378
357	1625.347228
358	1624.987043
359	1624.651227
360	1623.982527
361	1623.216097
362	1622.674477
363	1622.543173
364	1622.161348
365	1622.07814
366	1621.960719
367	1621.546746
368	1621.172472
369	1620.704791
370	1620.331561
371	1619.758253
372	1619.396555
373	1619.062134
374	1618.768559
375	1618.229738
376	1617.801525
377	1617.28729
378	1617.219029
379	1616.919726
380	1616.699136
381	1616.3761
382	1616.01792
383	1615.605847
384	1615.466055
385	1615.020258
386	1614.528024
387	1614.338405
388	1614.164848
389	1613.862871
390	1613.475546
391	1613.15515
392	1613.061763
393	1612.599401
394	1611.864246
395	1611.62759
396	1611.373128
397	1611.076533
398	1610.625906
399	1610.283644
400	1610.076211
401	1609.711487
402	1609.407175
403	1609.064302
404	1608.717542
405	1608.463113
406	1608.039835
407	1607.785294
408	1607.403961
409	1607.121669
410	1606.821984
411	1606.352206
412	1605.936197
413	1605.277884
414	1605.035923
415	1604.721985
416	1604.464815
417	1603.86968
418	1603.610248
419	1603.133429
420	1602.890823
421	1602.296634
422	1602.023933
423	1601.736609
424	1601.436827
425	1601.232233
426	1601.054085
427	1600.63094
428	1600.32938
429	1600.026324
430	1599.834883
431	1599.586016
432	1599.41004
433	1599.212592
434	1598.698793
435	1598.411217
436	1598.247544
437	1597.883811
438	1597.437051
439	1597.188937
440	1596.849105
441	1596.468929
442	1596.230252
443	1595.964962
444	1595.322847
445	1595.048374
446	1594.595973
447	1594.306541
448	1593.93087
449	1593.485759
450	1593.177508
451	1592.871076
452	1592.735008
453	1592.513229
454	1592.192945
455	1591.931396
456	1591.559596
457	1591.152074
458	1590.937367
459	1590.442971
460	1590.233755
461	1589.805411
462	1589.395541
463	1589.183408
464	1588.782039
465	1588.474007
466	1588.167305
467	1587.84647
468	1587.764348
469	1587.467822
470	1587.100411
471	1586.890751
472	1586.58198
473	1586.389138
474	1586.334146
475	1586.089855
476	1585.769184
477	1585.608218
478	1585.523371
479	1585.391985
480	1584.892211
481	1584.509358
482	1584.386191
483	1584.107365
484	1583.744688
485	1583.482559
486	1583.415929
487	1583.10567
